자치구명,모든 점멸신호 운영개수
강남구,44
강동구,66
강북구,29
강서구,111
관악구,29
광진구,39
구로구,45
금천구,15
노원구,103
도봉구,46
동대문구,21
동작구,50
마포구,33
서대문구,16
서초구,90
성동구,34
성북구,63
송파구,60
양천구,42
영등포구,21
용산구,29
은평구,63
종로구,15
중구,9
중랑구,74
