년도,월,일,자치구명,시간대구분,총생활인구수
2022,01,01,서초구,5,446871.6205
2022,01,01,강남구,5,609978.6737
2022,01,01,송파구,5,702414.9316
2022,01,01,강동구,5,520843.5295
2022,01,01,종로구,6,199780.7394
2022,01,01,중구,6,159540.2099
2022,01,01,용산구,6,253512.1731
2022,01,01,성동구,6,312999.5638
2022,01,01,광진구,6,351295.7587
2022,01,01,동대문구,6,326690.2767
2022,01,01,중랑구,6,371563.3355
2022,01,01,성북구,6,416311.082
2022,01,01,강북구,6,306855.5838
2022,01,01,도봉구,6,289216.6491
2022,01,01,노원구,6,515941.1532
2022,01,01,은평구,6,462217.3846
2022,01,01,서대문구,6,329738.9598
2022,01,01,마포구,6,394447.4466
2022,01,01,양천구,6,386646.4183
2022,01,01,강서구,6,540130.2665
2022,01,01,구로구,6,378958.2402
2022,01,01,금천구,6,197505.1326
2022,01,01,영등포구,6,398605.7121
2022,01,01,동작구,6,380544.4449
2022,01,01,관악구,6,471297.5364
2022,01,01,서초구,6,450050.915
2022,01,01,강남구,6,611220.5836
2022,01,01,송파구,6,701271.881
2022,01,01,강동구,6,517378.5403
2022,01,01,종로구,22,194507.6225
2022,01,01,중구,22,157007.165
2022,01,01,용산구,22,251226.4711
2022,01,01,성동구,22,319073.8097
2022,01,01,광진구,22,352034.8922
2022,01,01,동대문구,22,326130.9087
2022,01,01,중랑구,22,373477.4816
2022,01,01,성북구,22,420475.3434
2022,01,01,강북구,22,308738.6205
2022,01,01,도봉구,22,293925.8702
2022,01,01,노원구,22,518382.0815
2022,01,01,은평구,22,463332.3943
2022,01,01,서대문구,22,331646.6129
2022,01,01,마포구,22,396729.7316
2022,01,01,양천구,22,391466.2829
2022,01,01,강서구,22,539089.0039
2022,01,01,구로구,22,385379.6772
2022,01,01,금천구,22,203810.8585
2022,01,01,영등포구,22,405862.955
2022,01,01,동작구,22,380519.0524
2022,01,01,관악구,22,472006.0298
2022,01,01,서초구,22,456371.9591
2022,01,01,강남구,22,611139.1794
2022,01,01,송파구,22,706280.6438
2022,01,01,강동구,22,520347.0593
2022,01,01,종로구,23,191393.7822
2022,01,01,중구,23,150172.222
2022,01,01,용산구,23,248017.2307
2022,01,01,성동구,23,311592.3386
2022,01,01,광진구,23,352593.3816
2022,01,01,동대문구,23,330372.4056
2022,01,01,중랑구,23,375602.2334
2022,01,01,성북구,23,419844.974
2022,01,01,강북구,23,312225.671
2022,01,01,도봉구,23,290991.9946
2022,01,01,노원구,23,525785.4731
2022,01,01,은평구,23,470379.1331
2022,01,01,서대문구,23,332640.2896
2022,01,01,마포구,23,390969.9501
2022,01,01,양천구,23,393913.4655
2022,01,01,강서구,23,538518.2684
2022,01,01,구로구,23,384455.6461
2022,01,01,금천구,23,201741.4711
2022,01,01,영등포구,23,397883.4164
2022,01,01,동작구,23,384907.5386
2022,01,01,관악구,23,475674.6122
2022,01,01,서초구,23,442385.0466
2022,01,01,강남구,23,601504.6244
2022,01,01,송파구,23,706102.0607
2022,01,01,강동구,23,523729.0471
2022,01,02,종로구,0,190812.9766
2022,01,02,중구,0,150497.4867
2022,01,02,용산구,0,246767.6047
2022,01,02,성동구,0,310406.5002
2022,01,02,광진구,0,349655.8777
2022,01,02,동대문구,0,330217.4509
2022,01,02,중랑구,0,376741.6617
2022,01,02,성북구,0,420556.0393
2022,01,02,강북구,0,311838.9683
2022,01,02,도봉구,0,292588.3412
2022,01,02,노원구,0,524957.9879
2022,01,02,은평구,0,470838.9985
2022,01,02,서대문구,0,333173.3265
2022,01,02,마포구,0,388214.5568
2022,01,02,양천구,0,394239.6361
2022,01,02,강서구,0,539233.3446
2022,01,02,구로구,0,384834.599
2022,01,02,금천구,0,202398.9637
2022,01,02,영등포구,0,396457.3025
2022,01,02,동작구,0,384961.2661
2022,01,02,관악구,0,476644.8456
2022,01,02,서초구,0,440521.7338
2022,01,02,강남구,0,602571.9684
2022,01,02,송파구,0,705412.8991
2022,01,02,강동구,0,525352.3851
2022,01,02,종로구,1,190266.6227
2022,01,02,중구,1,149774.4301
2022,01,02,용산구,1,247579.65
2022,01,02,성동구,1,310227.821
2022,01,02,광진구,1,350420.9662
2022,01,02,동대문구,1,330810.1162
2022,01,02,중랑구,1,376788.079
2022,01,02,성북구,1,421007.885
2022,01,02,강북구,1,311635.7238
2022,01,02,도봉구,1,293092.1424
2022,01,02,노원구,1,525049.9336
2022,01,02,은평구,1,471188.0686
2022,01,02,서대문구,1,332480.3692
2022,01,02,마포구,1,390442.6182
2022,01,02,양천구,1,392129.2771
2022,01,02,강서구,1,539132.9331
2022,01,02,구로구,1,383691.9296
2022,01,02,금천구,1,200702.1882
2022,01,02,영등포구,1,395959.2056
2022,01,02,동작구,1,384974.3486
2022,01,02,관악구,1,478124.5543
2022,01,02,서초구,1,439667.7788
2022,01,02,강남구,1,600489.978
2022,01,02,송파구,1,704916.607
2022,01,02,강동구,1,525133.1985
2022,01,02,종로구,2,189853.126
2022,01,02,중구,2,149301.2508
2022,01,02,용산구,2,247136.6538
2022,01,02,성동구,2,310282.0602
2022,01,02,광진구,2,350303.5394
2022,01,02,동대문구,2,330788.0377
2022,01,02,중랑구,2,376938.8198
2022,01,02,성북구,2,421229.643
2022,01,02,강북구,2,312060.681
2022,01,02,도봉구,2,293171.4374
2022,01,02,노원구,2,525197.7548
2022,01,02,은평구,2,471385.6073
2022,01,02,서대문구,2,332688.0029
2022,01,02,마포구,2,390539.3854
2022,01,02,양천구,2,391565.281
2022,01,02,강서구,2,539589.3708
2022,01,02,구로구,2,383494.5939
2022,01,02,금천구,2,200332.3709
2022,01,02,영등포구,2,395818.9074
2022,01,02,동작구,2,384745.3765
2022,01,02,관악구,2,478739.3021
2022,01,02,서초구,2,439121.8136
2022,01,02,강남구,2,599838.3421
2022,01,02,송파구,2,705165.9237
2022,01,02,강동구,2,525200.0897
2022,01,02,종로구,3,189594.1488
2022,01,02,중구,3,148655.0117
2022,01,02,용산구,3,247257.5322
2022,01,02,성동구,3,310709.1284
2022,01,02,광진구,3,350272.825
2022,01,02,동대문구,3,330627.2672
2022,01,02,중랑구,3,377108.9536
2022,01,02,성북구,3,421675.8634
2022,01,02,강북구,3,311898.7266
2022,01,02,도봉구,3,293062.7956
2022,01,02,노원구,3,525565.2581
2022,01,02,은평구,3,471779.952
2022,01,02,서대문구,3,332638.1471
2022,01,02,마포구,3,390579.1571
2022,01,02,양천구,3,391400.614
2022,01,02,강서구,3,540284.5893
2022,01,02,구로구,3,383316.6707
2022,01,02,금천구,3,200188.5783
2022,01,02,영등포구,3,395040.4807
2022,01,02,동작구,3,384848.8094
2022,01,02,관악구,3,479013.7765
2022,01,02,서초구,3,439081.0991
2022,01,02,강남구,3,599059.8154
2022,01,02,송파구,3,705201.5251
2022,01,02,강동구,3,525351.3153
2022,01,02,종로구,4,189717.0981
2022,01,02,중구,4,148230.43
2022,01,02,용산구,4,248778.8991
2022,01,02,성동구,4,310770.9759
2022,01,02,광진구,4,350509.5324
2022,01,02,동대문구,4,330691.1888
2022,01,02,중랑구,4,377317.1932
2022,01,02,성북구,4,422098.9104
2022,01,02,강북구,4,311462.9873
2022,01,02,도봉구,4,292861.8597
2022,01,02,노원구,4,525509.7933
2022,01,02,은평구,4,471777.7804
2022,01,02,서대문구,4,332258.5622
2022,01,02,마포구,4,392094.4217
2022,01,02,양천구,4,390819.3009
2022,01,02,강서구,4,540828.2508
2022,01,02,구로구,4,383510.7761
2022,01,02,금천구,4,198990.7814
2022,01,02,영등포구,4,394461.5546
2022,01,02,동작구,4,384444.2091
2022,01,02,관악구,4,479152.1356
2022,01,02,서초구,4,440986.5704
2022,01,02,강남구,4,598907.2512
2022,01,02,송파구,4,704797.9904
2022,01,02,강동구,4,525184.4864
2022,01,02,종로구,5,190255.8555
2022,01,02,중구,5,148817.5651
2022,01,02,용산구,5,248799.3658
2022,01,02,성동구,5,312116.6355
2022,01,02,광진구,5,349803.7612
2022,01,02,동대문구,5,330681.9187
2022,01,02,중랑구,5,376507.7232
2022,01,02,성북구,5,421755.4708
2022,01,02,강북구,5,310495.1757
2022,01,02,도봉구,5,293412.5877
2022,01,02,노원구,5,524747.8991
2022,01,02,은평구,5,470713.042
2022,01,02,서대문구,5,333317.5475
2022,01,02,마포구,5,390987.8358
2022,01,02,양천구,5,390908.6625
2022,01,02,강서구,5,542640.2532
2022,01,02,구로구,5,383895.0073
2022,01,02,금천구,5,198973.9139
2022,01,02,영등포구,5,396066.2098
2022,01,02,동작구,5,384806.7422
2022,01,02,관악구,5,478541.7385
2022,01,02,서초구,5,443059.1797
2022,01,02,강남구,5,600755.1324
2022,01,02,송파구,5,705177.9665
2022,01,02,강동구,5,524805.3908
2022,01,02,종로구,6,192375.7528
2022,01,02,중구,6,151941.9076
2022,01,02,용산구,6,250412.1895
2022,01,02,성동구,6,313030.7198
2022,01,02,광진구,6,348691.7932
2022,01,02,동대문구,6,330657.1779
2022,01,02,중랑구,6,375467.0605
2022,01,02,성북구,6,420812.7265
2022,01,02,강북구,6,308754.5349
2022,01,02,도봉구,6,292568.2201
2022,01,02,노원구,6,522778.4111
2022,01,02,은평구,6,468797.1196
2022,01,02,서대문구,6,332434.7318
2022,01,02,마포구,6,390805.8156
2022,01,02,양천구,6,390221.3563
2022,01,02,강서구,6,543625.8827
2022,01,02,구로구,6,383292.7174
2022,01,02,금천구,6,199149.8404
2022,01,02,영등포구,6,398741.4034
2022,01,02,동작구,6,383559.658
2022,01,02,관악구,6,477065.7453
2022,01,02,서초구,6,448498.0093
2022,01,02,강남구,6,605747.4713
2022,01,02,송파구,6,705494.4621
2022,01,02,강동구,6,523763.4425
2022,01,02,종로구,22,196555.0834
2022,01,02,중구,22,151630.6499
2022,01,02,용산구,22,256872.4447
2022,01,02,성동구,22,330365.6171
2022,01,02,광진구,22,364183.8057
2022,01,02,동대문구,22,336540.8003
2022,01,02,중랑구,22,381815.4856
2022,01,02,성북구,22,433180.6514
2022,01,02,강북구,22,311207.9221
2022,01,02,도봉구,22,296002.217
2022,01,02,노원구,22,527771.9569
2022,01,02,은평구,22,471219.0978
2022,01,02,서대문구,22,339269.2914
2022,01,02,마포구,22,408608.8748
2022,01,02,양천구,22,403857.781
2022,01,02,강서구,22,555468.2895
2022,01,02,구로구,22,392703.5273
2022,01,02,금천구,22,209342.8375
2022,01,02,영등포구,22,420398.2303
2022,01,02,동작구,22,397442.3491
2022,01,02,관악구,22,496657.7029
2022,01,02,서초구,22,483211.4329
2022,01,02,강남구,22,639681.8556
2022,01,02,송파구,22,734237.4514
