사고발생_년도,사고발생_월일,사고발생_시간,행정동,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고세부유형,법규위반,큰도로형태,세부도로형태,가해운전자 상해정도,피해운전자 상해정도
2016년,5월9일,00시,상계동,경상사고,0,0,1,0,차도통행중,안전운전불이행,교차로,교차로안,상해없음,
2016년,5월17일,02시,상계동,중상사고,0,1,0,0,횡단중,안전운전불이행,교차로,교차로안,상해없음,
2016년,5월22일,00시,상계동,경상사고,0,0,1,0,횡단중,안전운전불이행,단일로,기타,상해없음,
2016년,5월25일,03시,상계동,중상사고,0,1,0,0,차도통행중,중앙선침범,단일로,기타,상해없음,
2016년,5월28일,00시,상계동,경상사고,0,0,1,0,횡단중,안전운전불이행,기타,기타,상해없음,
2016년,6월18일,00시,상계동,경상사고,0,0,1,0,횡단중,안전운전불이행,단일로,기타,상해없음,
2016년,6월21일,01시,상계동,경상사고,0,0,1,0,횡단중,안전운전불이행,단일로,기타,상해없음,
2016년,6월25일,04시,월계동,경상사고,0,0,1,0,횡단중,안전운전불이행,교차로,교차로안,상해없음,
2016년,7월14일,01시,상계동,중상사고,0,1,0,0,횡단중,안전운전불이행,교차로,교차로부근,상해없음,
2016년,7월28일,02시,상계동,중상사고,0,1,0,0,횡단중,안전운전불이행,교차로,교차로부근,상해없음,
2016년,8월26일,05시,상계동,중상사고,0,1,0,0,횡단중,안전운전불이행,단일로,횡단보도상,상해없음,
2016년,9월4일,02시,상계동,경상사고,0,0,1,0,횡단중,안전운전불이행,단일로,기타,상해없음,
2016년,9월29일,01시,상계동,중상사고,0,1,0,0,차도통행중,안전운전불이행,단일로,기타,상해없음,
2016년,10월4일,00시,상계동,경상사고,0,0,1,0,횡단중,보행자보호의무위반,교차로,교차로안,상해없음,
2016년,10월4일,02시,상계동,경상사고,0,0,1,0,횡단중,신호위반,교차로,교차로안,상해없음,
2016년,10월8일,00시,공릉동,경상사고,0,0,1,0,차도통행중,안전운전불이행,단일로,기타,상해없음,
2016년,10월22일,04시,중계동,중상사고,0,1,0,0,횡단중,안전운전불이행,교차로,교차로부근,상해없음,
2016년,10월22일,05시,상계동,중상사고,0,1,0,0,횡단중,안전운전불이행,단일로,기타,상해없음,
