사고발생_년도,사고발생_월,사고발생_일,사고발생_시간,자치구명,행정동,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고세부유형,법규위반,큰도로형태,세부도로형태,가해운전자 상해정도,피해운전자 상해정도
2014년,1월,15일,22시,양천구,신월동,중상사고,0,1,0,0,횡단중,안전운전불이행,교차로,교차로부근,상해없음,중상
2014년,1월,16일,00시,종로구,서린동,중상사고,0,1,0,0,횡단중,안전운전불이행,단일로,기타,상해없음,중상
2014년,1월,16일,01시,성북구,보문동1가,경상사고,0,0,1,0,횡단중,보행자보호의무위반,교차로,교차로부근,상해없음,경상
2014년,1월,16일,01시,서초구,서초동,중상사고,0,1,0,0,횡단중,보행자보호의무위반,단일로,횡단보도상,상해없음,중상
2014년,1월,17일,06시,강남구,대치동,중상사고,0,1,0,0,횡단중,보행자보호의무위반,단일로,횡단보도상,상해없음,중상
2014년,1월,18일,01시,서초구,반포동,중상사고,0,1,0,0,횡단중,안전운전불이행,단일로,횡단보도부근,상해없음,중상
2014년,1월,18일,03시,송파구,가락동,중상사고,0,1,0,0,차도통행중,안전운전불이행,단일로,기타,상해없음,중상
2014년,1월,19일,02시,강북구,미아동,중상사고,0,2,0,0,횡단중,보행자보호의무위반,단일로,횡단보도상,상해없음,중상
2014년,1월,19일,04시,광진구,구의동,중상사고,0,1,0,0,횡단중,안전운전불이행,단일로,기타,상해없음,중상
2014년,1월,19일,06시,영등포구,신길동,부상신고사고,0,0,0,1,횡단중,안전운전불이행,단일로,기타,상해없음,부상신고
2014년,1월,19일,22시,종로구,창신동,경상사고,0,0,1,0,횡단중,안전운전불이행,단일로,기타,상해없음,경상
2014년,1월,19일,22시,강남구,대치동,부상신고사고,0,0,0,1,차도통행중,안전운전불이행,단일로,기타,상해없음,부상신고
2014년,1월,19일,23시,성북구,돈암동,중상사고,0,1,0,0,차도통행중,안전운전불이행,단일로,기타,상해없음,중상
2014년,1월,20일,06시,강남구,역삼동,중상사고,0,1,0,0,횡단중,안전운전불이행,교차로,교차로안,상해없음,중상
2014년,1월,20일,22시,성북구,동선동4가,경상사고,0,0,1,0,차도통행중,안전운전불이행,교차로,교차로안,상해없음,경상
2014년,1월,20일,22시,강서구,가양동,경상사고,0,0,2,0,횡단중,보행자보호의무위반,교차로,교차로안,상해없음,경상
2014년,1월,22일,22시,성북구,하월곡동,중상사고,0,1,1,0,횡단중,신호위반,단일로,기타,상해없음,중상
2014년,1월,23일,04시,종로구,관철동,중상사고,0,1,0,0,차도통행중,안전운전불이행,단일로,기타,상해없음,중상
2014년,1월,23일,22시,영등포구,당산동,경상사고,0,0,1,0,횡단중,보행자보호의무위반,단일로,횡단보도상,상해없음,경상
2014년,1월,23일,23시,종로구,당주동,경상사고,0,0,1,0,횡단중,보행자보호의무위반,단일로,횡단보도상,상해없음,경상
2014년,1월,24일,06시,광진구,중곡동,중상사고,0,1,0,0,횡단중,신호위반,단일로,기타,상해없음,중상
2014년,1월,24일,06시,중랑구,면목동,중상사고,0,1,0,0,횡단중,신호위반,단일로,횡단보도상,상해없음,중상
2014년,1월,24일,22시,강북구,수유동,경상사고,0,0,1,0,횡단중,안전운전불이행,교차로,교차로부근,상해없음,경상
2014년,1월,24일,23시,강남구,청담동,중상사고,0,2,0,0,횡단중,보행자보호의무위반,단일로,기타,상해없음,중상
2014년,1월,25일,01시,구로구,오류동,중상사고,0,1,0,0,횡단중,안전운전불이행,단일로,횡단보도상,상해없음,중상
2014년,1월,25일,02시,영등포구,신길동,중상사고,0,1,0,0,횡단중,보행자보호의무위반,교차로,교차로부근,상해없음,중상
2014년,1월,25일,04시,강남구,대치동,중상사고,0,1,0,1,횡단중,안전운전불이행,교차로,교차로안,상해없음,중상
2014년,1월,25일,06시,강남구,압구정동,중상사고,0,1,0,0,횡단중,안전운전불이행,교차로,교차로부근,상해없음,중상
2014년,1월,25일,06시,노원구,하계동,중상사고,0,1,1,0,차도통행중,안전운전불이행,교차로,교차로부근,기타불명,경상
2014년,1월,26일,05시,서대문구,신촌동,중상사고,0,1,0,0,횡단중,안전운전불이행,단일로,기타,상해없음,중상
2014년,1월,26일,06시,용산구,한강로3가,경상사고,0,0,1,0,횡단중,안전운전불이행,단일로,기타,상해없음,경상
2014년,1월,26일,22시,동대문구,용두동,경상사고,0,0,1,0,횡단중,안전운전불이행,교차로,교차로부근,상해없음,경상
2014년,1월,26일,22시,관악구,봉천동,중상사고,0,1,0,0,횡단중,안전운전불이행,교차로,교차로안,상해없음,중상
2014년,1월,27일,02시,중구,수표동,중상사고,0,1,0,0,횡단중,안전운전불이행,교차로,교차로부근,기타불명,중상
2014년,1월,27일,06시,용산구,갈월동,부상신고사고,0,0,0,1,횡단중,안전운전불이행,단일로,기타,상해없음,부상신고
2014년,1월,27일,23시,용산구,한강로3가,경상사고,0,0,1,0,차도통행중,안전운전불이행,단일로,기타,상해없음,경상
2014년,1월,27일,23시,도봉구,방학동,중상사고,0,1,0,0,횡단중,안전운전불이행,단일로,기타,상해없음,중상
2014년,1월,28일,03시,동대문구,휘경동,사망사고,1,0,0,0,차도통행중,안전운전불이행,단일로,기타,상해없음,사망
2014년,1월,28일,05시,서대문구,창천동,중상사고,0,1,0,0,횡단중,안전운전불이행,단일로,횡단보도상,상해없음,중상
2014년,1월,28일,06시,송파구,가락동,경상사고,0,0,1,0,횡단중,안전운전불이행,단일로,횡단보도부근,상해없음,경상
2014년,1월,28일,06시,양천구,목동,중상사고,0,1,0,0,횡단중,보행자보호의무위반,교차로,교차로안,상해없음,중상
2014년,1월,28일,22시,광진구,구의동,경상사고,0,0,1,0,횡단중,중앙선침범,단일로,기타,상해없음,경상
2014년,1월,28일,23시,성동구,성수동1가,중상사고,0,1,0,0,횡단중,안전운전불이행,단일로,기타,상해없음,중상
2014년,1월,28일,23시,강동구,고덕동,중상사고,0,1,0,0,횡단중,보행자보호의무위반,교차로,교차로안,상해없음,중상
2014년,1월,29일,22시,동대문구,장안동,중상사고,0,1,0,0,횡단중,안전운전불이행,교차로,교차로부근,상해없음,중상
2014년,1월,29일,22시,노원구,중계동,중상사고,0,1,0,0,횡단중,안전운전불이행,기타,기타,상해없음,중상
2014년,1월,30일,00시,중랑구,면목동,중상사고,0,1,0,0,횡단중,보행자보호의무위반,교차로,교차로부근,상해없음,중상
2014년,1월,30일,00시,강남구,삼성동,경상사고,0,0,1,0,횡단중,안전운전불이행,교차로,교차로부근,상해없음,경상
2014년,1월,30일,00시,노원구,상계동,경상사고,0,0,1,0,횡단중,보행자보호의무위반,교차로,교차로부근,상해없음,경상
2014년,1월,30일,03시,송파구,문정동,중상사고,0,1,0,0,횡단중,안전운전불이행,교차로,교차로부근,상해없음,중상
2014년,1월,30일,03시,노원구,상계동,중상사고,0,1,0,0,횡단중,안전운전불이행,단일로,기타,상해없음,중상
2014년,1월,31일,00시,중랑구,중화동,중상사고,0,1,0,0,횡단중,안전운전불이행,단일로,횡단보도상,상해없음,중상
2014년,1월,31일,03시,종로구,관수동,중상사고,0,1,0,0,횡단중,안전운전불이행,단일로,기타,상해없음,중상
2014년,1월,31일,23시,양천구,신정동,경상사고,0,0,1,0,횡단중,보행자보호의무위반,단일로,횡단보도상,상해없음,경상
2014년,2월,1일,06시,종로구,내자동,중상사고,0,1,0,0,횡단중,안전운전불이행,기타,기타,상해없음,중상
2014년,2월,1일,23시,관악구,신림동,경상사고,0,0,1,0,횡단중,신호위반,단일로,횡단보도부근,상해없음,경상
2014년,2월,2일,01시,금천구,시흥동,중상사고,0,1,0,0,횡단중,보행자보호의무위반,단일로,횡단보도상,상해없음,중상
2014년,2월,3일,05시,동대문구,장안동,중상사고,0,1,0,0,횡단중,안전운전불이행,단일로,기타,상해없음,중상
2014년,2월,3일,06시,은평구,대조동,경상사고,0,0,1,0,횡단중,보행자보호의무위반,교차로,교차로안,상해없음,경상
2014년,2월,3일,22시,성북구,하월곡동,중상사고,0,1,0,0,횡단중,안전운전불이행,교차로,교차로안,상해없음,중상
2014년,2월,4일,03시,용산구,이태원동,중상사고,0,1,0,0,횡단중,신호위반,단일로,횡단보도상,상해없음,중상
2014년,2월,4일,22시,성동구,금호동2가,중상사고,0,2,0,0,횡단중,보행자보호의무위반,교차로,교차로안,상해없음,중상
2014년,2월,4일,22시,관악구,봉천동,경상사고,0,0,1,0,횡단중,안전운전불이행,단일로,기타,상해없음,경상
2014년,2월,4일,22시,양천구,신정동,중상사고,0,1,0,0,횡단중,안전운전불이행,교차로,교차로부근,상해없음,중상
2014년,2월,5일,00시,광진구,군자동,중상사고,0,1,0,0,횡단중,보행자보호의무위반,단일로,횡단보도상,상해없음,중상
2014년,2월,5일,23시,강남구,대치동,중상사고,0,1,0,0,횡단중,안전운전불이행,단일로,기타,상해없음,중상
2014년,2월,6일,00시,구로구,신도림동,중상사고,0,1,0,0,횡단중,안전운전불이행,단일로,기타,상해없음,중상
2014년,2월,6일,22시,영등포구,대림동,경상사고,0,0,1,0,횡단중,신호위반,교차로,교차로부근,상해없음,경상
2014년,2월,6일,23시,성동구,성수동2가,경상사고,0,0,1,0,횡단중,보행자보호의무위반,단일로,기타,상해없음,경상
2014년,2월,7일,02시,강남구,대치동,경상사고,0,0,1,0,횡단중,신호위반,단일로,횡단보도상,상해없음,경상
2014년,2월,7일,06시,마포구,아현동,경상사고,0,0,1,0,차도통행중,안전운전불이행,단일로,기타,상해없음,경상
2014년,2월,7일,23시,영등포구,신길동,중상사고,0,1,0,0,횡단중,보행자보호의무위반,단일로,횡단보도상,상해없음,중상
2014년,2월,7일,23시,강남구,청담동,중상사고,0,1,0,0,횡단중,안전운전불이행,단일로,기타,상해없음,중상
2014년,2월,8일,01시,서대문구,충정로3가,중상사고,0,1,0,0,횡단중,안전운전불이행,교차로,교차로안,상해없음,중상
2014년,2월,8일,01시,강서구,방화동,중상사고,0,1,0,0,횡단중,보행자보호의무위반,단일로,횡단보도상,상해없음,중상
2014년,2월,9일,02시,성북구,종암동,중상사고,0,1,0,0,횡단중,안전운전불이행,단일로,기타,상해없음,중상
2014년,2월,9일,04시,강서구,가양동,중상사고,0,1,0,0,횡단중,안전운전불이행,단일로,기타,상해없음,중상
2014년,2월,9일,22시,강남구,논현동,중상사고,0,1,0,0,횡단중,안전운전불이행,단일로,횡단보도부근,상해없음,중상
2014년,2월,9일,23시,관악구,신림동,경상사고,0,0,1,0,횡단중,신호위반,단일로,횡단보도상,상해없음,경상
2014년,2월,9일,23시,송파구,문정동,경상사고,0,0,1,0,횡단중,보행자보호의무위반,단일로,횡단보도상,상해없음,경상
2014년,2월,10일,00시,동대문구,청량리동,중상사고,0,1,0,0,횡단중,안전운전불이행,단일로,기타,상해없음,중상
2014년,2월,10일,01시,성북구,종암동,중상사고,0,1,0,0,횡단중,보행자보호의무위반,교차로,교차로안,상해없음,중상
2014년,2월,10일,04시,마포구,서교동,경상사고,0,0,1,0,차도통행중,안전운전불이행,교차로,교차로안,기타불명,경상
2014년,2월,10일,22시,강동구,천호동,경상사고,0,0,1,0,횡단중,안전운전불이행,단일로,기타,상해없음,경상
2014년,2월,10일,22시,서초구,서초동,경상사고,0,0,1,0,횡단중,안전운전불이행,단일로,횡단보도상,기타불명,경상
2014년,2월,11일,23시,동대문구,용두동,중상사고,0,1,0,0,횡단중,안전운전불이행,단일로,기타,상해없음,중상
2014년,2월,12일,01시,마포구,신수동,경상사고,0,0,1,0,횡단중,중앙선침범,단일로,횡단보도상,상해없음,경상
2014년,2월,12일,02시,중구,봉래동2가,경상사고,0,0,1,0,횡단중,신호위반,교차로,교차로안,상해없음,경상
2014년,2월,12일,04시,강북구,미아동,중상사고,0,1,0,0,횡단중,교차로운행방법위반,단일로,횡단보도부근,상해없음,중상
2014년,2월,12일,05시,강북구,번동,경상사고,0,0,1,0,횡단중,보행자보호의무위반,단일로,횡단보도상,상해없음,경상
2014년,2월,13일,02시,영등포구,영등포동3가,중상사고,0,1,0,0,횡단중,안전운전불이행,단일로,횡단보도부근,상해없음,중상
2014년,2월,13일,06시,관악구,신림동,중상사고,0,1,0,0,횡단중,안전운전불이행,단일로,기타,상해없음,중상
2014년,2월,13일,22시,서초구,서초동,중상사고,0,1,0,0,횡단중,안전운전불이행,교차로,교차로부근,상해없음,중상
2014년,2월,13일,23시,광진구,능동,중상사고,0,1,0,0,차도통행중,안전운전불이행,교차로,교차로부근,상해없음,중상
2014년,2월,14일,01시,관악구,신림동,중상사고,0,1,0,0,횡단중,안전운전불이행,단일로,기타,상해없음,중상
2014년,2월,14일,05시,금천구,가산동,중상사고,0,1,0,0,횡단중,안전운전불이행,교차로,교차로부근,상해없음,중상
2014년,2월,14일,22시,광진구,구의동,중상사고,0,1,1,0,횡단중,안전운전불이행,단일로,횡단보도상,상해없음,중상
2014년,2월,14일,23시,동대문구,전농동,중상사고,0,1,0,0,횡단중,신호위반,교차로,교차로안,상해없음,중상
2014년,2월,14일,23시,광진구,구의동,중상사고,0,1,0,0,횡단중,안전운전불이행,단일로,기타,상해없음,중상
2014년,2월,14일,23시,영등포구,영등포동7가,중상사고,0,1,0,0,횡단중,안전운전불이행,단일로,기타,상해없음,중상
2014년,2월,15일,00시,서대문구,창천동,중상사고,0,1,0,0,횡단중,안전운전불이행,교차로,교차로부근,상해없음,중상
2014년,2월,15일,01시,광진구,자양동,중상사고,0,1,0,0,횡단중,보행자보호의무위반,단일로,횡단보도상,상해없음,중상
2014년,2월,15일,05시,광진구,중곡동,중상사고,0,1,0,0,횡단중,신호위반,단일로,기타,상해없음,중상
2014년,2월,16일,04시,구로구,오류동,중상사고,0,1,0,0,횡단중,신호위반,교차로,교차로안,상해없음,중상
2014년,2월,16일,23시,노원구,중계동,경상사고,0,0,1,0,횡단중,안전운전불이행,단일로,횡단보도부근,상해없음,경상
2014년,2월,17일,22시,용산구,남영동,중상사고,0,1,0,0,횡단중,안전운전불이행,단일로,횡단보도상,상해없음,중상
2014년,2월,18일,01시,도봉구,창동,경상사고,0,0,1,0,횡단중,안전운전불이행,교차로,교차로부근,상해없음,경상
2014년,2월,18일,02시,강서구,가양동,경상사고,0,0,1,0,횡단중,안전운전불이행,단일로,기타,상해없음,경상
2014년,2월,18일,06시,종로구,수송동,경상사고,0,0,1,0,횡단중,안전운전불이행,단일로,기타,상해없음,경상
2014년,2월,18일,06시,광진구,구의동,부상신고사고,0,0,0,1,횡단중,안전운전불이행,교차로,교차로안,기타불명,부상신고
2014년,2월,18일,22시,서대문구,홍제동,경상사고,0,0,1,0,횡단중,안전운전불이행,단일로,횡단보도상,상해없음,경상
2014년,2월,19일,04시,강북구,미아동,중상사고,0,1,0,0,횡단중,신호위반,단일로,횡단보도상,상해없음,중상
2014년,2월,20일,00시,영등포구,영등포동3가,경상사고,0,0,1,0,차도통행중,안전운전불이행,단일로,횡단보도부근,상해없음,경상
2014년,2월,20일,03시,관악구,신림동,경상사고,0,0,1,0,횡단중,신호위반,단일로,횡단보도상,상해없음,경상
2014년,2월,20일,22시,강북구,미아동,중상사고,0,1,0,0,횡단중,안전운전불이행,단일로,기타,상해없음,중상
2014년,2월,21일,23시,서대문구,충정로3가,중상사고,0,1,0,0,차도통행중,안전운전불이행,단일로,기타,상해없음,중상
2014년,2월,22일,00시,은평구,갈현동,경상사고,0,0,1,0,차도통행중,안전운전불이행,단일로,기타,상해없음,경상
2014년,2월,23일,00시,금천구,시흥동,중상사고,0,1,0,0,횡단중,안전운전불이행,단일로,기타,상해없음,중상
